tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt21034246,Dual Confessions， Part 2/The Shuchiin Afterparty,Kaguya-sama: Love is War,3,13,9.8,2069,91
tt1817007,Threat Level Midnight,The Office,7,16,9.3,9378,92
tt3278574,Geothermal Escapism,Community,5,5,9.4,5428,93
tt3923868,This Is Rome,Suits,4,10,9.5,3829,94
tt7233026,HalloVeen,Brooklyn Nine-Nine,5,4,9.4,5357,95
tt15163002,Lag Gayi,Dhindora,1,1,9.2,27385,96
tt12176328,Mouse of Silver,The Midnight Gospel,1,8,9.7,2395,97
tt0800604,Casino Night,The Office,2,22,9.3,8704,98
tt23743566,Mom City,Ted Lasso,3,11,9.3,8318,99
tt0583635,The One with the Prom Video,Friends,2,14,9.3,8253,100
tt18257372,710N,Barry,3,6,9.4,5017,101
tt0768678,The Luck of the Fryrish,Futurama,3,10,9.4,5007,102
tt2361652,Ghosts Aren't the Only Ones Who Go Crazy in Graveyards,Gintama,2,10,9.8,1949,103
tt3068760,The Quarterback,Glee,5,3,9.5,3520,104
tt4359300,Mac & Dennis Move to the Suburbs,It's Always Sunny in Philadelphia,11,5,9.4,4781,105
tt1833194,Garage Sale,The Office,7,18,9.3,7375,106
tt2556008,The Final Page: Part Two,How I Met Your Mother,8,12,9.3,7164,107
tt13842152,The Last Day Pt 2,Brooklyn Nine-Nine,8,10,9.4,4595,108
tt10478714,Tern Haven,Succession,2,5,9.3,7096,109
tt1541289,The Playbook,How I Met Your Mother,5,8,9.3,6962,110
tt6542604,The Old Sugarman Place,BoJack Horseman,4,2,9.3,6843,111
tt4835748,Escape from L.A.,BoJack Horseman,2,11,9.3,6840,112
tt10084334,A Dark Quiet Death,Mythic Quest,1,5,9.4,4463,113
tt4464006,Hero or Hate Crime?,It's Always Sunny in Philadelphia,12,6,9.4,4371,114
tt4792756,Spring Breeze,Your Lie in April,1,22,9.7,2164,115
tt5107700,Weirdmageddon: Part 1,Gravity Falls,2,18,9.5,3237,116
tt1628912,Contemporary American Poultry,Community,1,21,9.3,6398,117
tt9475928,No Mercy,Cobra Kai,2,10,9.3,6384,118
tt0701122,Homer's Enemy,The Simpsons,8,23,9.3,6378,119
tt5193132,Toast Can't Never Be Bread Again,Orange Is the New Black,4,13,9.4,4194,120
tt26230388,Forks,The Bear,2,7,9.7,2108,121
