tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt0941552,Black Eyes and Broken Hearts,Friday Night Lights,1,16,8.4,722,176
tt1995201,Making A Train Out Of A Specially Modified Car And Caravans As Carriages,Top Gear,17,4,8.8,366,177
tt2081643,Blackout,Blue Mountain State,3,6,8.7,415,178
tt21191132,The North London Derby,All or Nothing: Arsenal,1,2,8.6,479,179
tt0762897,All Tomorrow's Parties,One Tree Hill,3,14,8.7,408,180
tt6068834,Morroccan Roll,The Grand Tour,1,5,8.1,2260,181
tt22043342,A Hollywood Distraction,Welcome to Wrexham,1,14,8.6,470,182
tt6068902,Chinese Food for Thought,The Grand Tour,3,6,8.2,1273,183
tt4736014,Living Down,Kingdom,2,9,9.0,288,184
tt1216629,"New York, New York",Friday Night Lights,3,8,8.6,462,185
tt0666225,Hanging by a Moment,One Tree Hill,1,13,8.6,461,186
tt1600234,Marathon Monday,Blue Mountain State,1,10,8.6,460,187
tt2096245,Thanksgiving,The League,3,8,8.7,397,188
tt6521064,Crackback,Ballers,3,9,8.2,1194,189
tt1822452,Riot,Blue Mountain State,2,13,8.7,392,190
tt8945140,2019 German Grand Prix,Formula 1,70,11,9.7,167,191
tt14968630,Lavender,Ted Lasso,2,2,8.0,5629,192
tt1720596,The Expert Witness,The League,2,9,8.6,443,193
tt22187852,Golden Duck,Sixer,1,4,8.4,635,194
tt6068846,Berks to the Future,The Grand Tour,1,9,8.1,1812,195
tt10234774,Coming Home,All American,2,7,8.9,297,196
tt1151593,Leave No One Behind,Friday Night Lights,2,14,8.5,508,197
tt1664461,The Drinks We Drank Last Night,One Tree Hill,8,12,8.8,330,198
tt15137346,California Dreaming,Winning Time: The Rise of the Lakers Dynasty,1,8,8.3,782,199
tt1491856,East of Dillon,Friday Night Lights,4,1,8.5,502,200
tt3069944,Building The Ford Transit Hovervan,Top Gear,20,4,8.7,368,201
tt1631970,Kingdom,Friday Night Lights,5,5,8.6,421,202
tt1794602,Kegel the Elf,The League,2,12,8.6,418,203
tt12843342,The Cut Off,A League of Their Own,1,3,8.1,1570,204
tt3468534,Hillsborough,30 for 30: Soccer Stories,1,1,8.5,482,205
tt1768449,High School Reunion,The League,2,10,8.6,410,206
tt15137352,Acceptable Loss,Winning Time: The Rise of the Lakers Dynasty,1,9,8.3,727,207
tt10225152,Episode #1.6,The English Game,1,6,8.5,474,208
tt1631964,The March,Friday Night Lights,5,11,8.6,404,209
tt1631963,Don't Go,Friday Night Lights,5,10,8.6,403,210
tt4416896,Australian Northern Territory Road Trip In GT Cars,Top Gear,22,2,8.5,471,211
tt1032109,I Forgot to Remember to Forget,One Tree Hill,5,5,8.7,350,212
tt4500122,Flamingos,Ballers,1,10,8.1,1434,213
tt22187840,Match Day Live,Sixer,1,3,8.4,556,214
tt0666260,To Wish Impossible Things,One Tree Hill,1,18,8.5,460,215
tt5225156,Woke Up Lonely,Kingdom,2,13,9.0,249,216
tt5346836,No Sharp Objects,Kingdom,2,20,8.9,273,217
tt3045672,Spanish Road Trip In Budget Convertibles,Top Gear,20,3,8.6,390,218
tt0666235,Like You Like an Arsonist,One Tree Hill,3,1,8.6,390,218
tt0666228,I Shall Believe,One Tree Hill,1,14,8.5,447,220
tt1122514,Amphibious Car Challenge II,Top Gear,10,2,8.7,334,221
tt0666255,The Search for Something More,One Tree Hill,1,8,8.4,525,222
tt22043332,Welcome Home,Welcome to Wrexham,1,9,8.4,523,223
tt11874100,Dark Days,Formula 1: Drive to Survive,2,4,8.2,862,224
tt0933553,Sad Songs for Dirty Lovers,One Tree Hill,4,14,8.6,374,225
tt1502517,A Sort of Homecoming,Friday Night Lights,4,4,8.5,435,226
tt0824076,The Same Deep Water as You,One Tree Hill,4,1,8.5,432,227
tt22174954,Hello Wembley,Welcome to Wrexham,1,16,8.5,432,227
tt10833420,Kayfabe,Heels,1,1,8.2,841,229
tt12269518,Chapter 1: The Greatest Fear,Undertaker: The Last Ride,1,1,9.0,235,230
tt9569466,A Very GLOW Christmas,GLOW,3,10,8.2,818,231
tt5640834,Million Bucks in a Bag,Ballers,2,9,8.1,1188,232
tt5640822,Everybody Knows,Ballers,2,7,8.1,1187,233
tt6154172,The Liberal Chokehold,GLOW,1,9,8.1,1185,234
tt1032113,For Tonight You're Only Here to Know,One Tree Hill,5,9,8.6,361,235
tt2048033,The Corn Field,Blue Mountain State,3,12,8.6,360,236
tt26254198,Devour,Blue Lock,1,15,8.4,498,237
tt2658640,Taking The Bentley Continental GT Speed To A Welsh Rally Stage - Building A Car Smaller Than A Peel P50: Clarkson's P45,Top Gear,19,1,8.5,414,238
tt0762542,Winter Olympics,Top Gear,7,7,8.5,412,239
tt11874186,Checkered Flag,Formula 1: Drive to Survive,2,10,8.2,790,240
tt0776250,When It Isn't Like It Should Be,One Tree Hill,3,18,8.5,410,241
tt3087458,Best Crossovers For Caravanners,Top Gear,20,5,8.6,350,242
tt15017012,New Beginnings,All or Nothing: Arsenal,1,1,8.4,482,243
tt1599448,Drug Olympics,Blue Mountain State,1,6,8.4,482,243
tt0776593,Everyday Is a Sunday Evening,One Tree Hill,3,20,8.5,403,245
tt3844804,Animator/Annihilator,Kingdom,1,7,8.6,344,246
tt3572352,Making A Commercial For Reducing Cycle-Related Accidents,Top Gear,21,5,8.5,396,247
tt6009214,So It Was You,Kuroko's Basketball,3,24,9.4,164,248
tt2673814,"Super Car Road Trip From Las Vegas, Nevada To Calexico, California",Top Gear,19,2,8.5,394,249
tt1280367,You Have to Be Joking (Autopsy of the Devil's Brain),One Tree Hill,6,12,8.6,339,250
tt13682530,WWE ThunderDome: Alexa's Playground,WWE Raw,29,14,5.0,33,15023
tt23640190,Episode #33.3,Top Gear,33,3,5.8,53,15024
tt14545500,Happy Memorial Day 2021!,WWE Raw,29,33,4.6,28,15025
tt19850644,Group D: Tunisia vs Australia,2022 FIFA World Cup Qatar,1,21,5.4,41,15026
tt20563820,Out of Bounds,The Mighty Ducks: Game Changers,2,2,6.7,166,15027
tt3846504,Episode dated 20 October 2012,Tyzhden,,,2.4,15,15028
tt8425180,Saudi Arabia - Egypt,2018 FIFA World Cup Russia,1,34,5.3,39,15029
tt3804094,Iran - Nigeria,2014 FIFA World Cup Brazil,1,13,5.2,37,15030
tt8945220,2019 Russian Grand Prix,Formula 1,70,16,5.7,50,15031
tt8425462,Sweden - Switzerland,2018 FIFA World Cup Russia,1,55,5.8,54,15032
tt2341743,Best of: '11-'12: Part 3,Top Gear,,,6.1,70,15033
tt12460596,Karaoke Showdown,WWE Smackdown!,22,41,4.8,31,15034
tt14090522,WrestleMania 37 Fallout!,WWE Raw,29,26,5.0,34,15035
tt0898067,Episode #14.45,WWE Raw,14,45,5.2,38,15036
tt11852976,I Accept,WWE Raw,28,26,4.9,33,15037
tt14090498,Episode #29.24,WWE Raw,29,24,4.5,28,15038
tt5298590,Top Gear: From A-Z - Part 1,Top Gear,,,6.3,90,15039
tt2252510,"Skater Who Cried Wolf/Good Dog, Bad Dog Academy",Rob Dyrdek's Wild Grinders,1,13,1.4,13,15040
tt7727496,2018 Singapore Grand Prix,Formula 1,69,15,5.3,41,15041
tt3648298,Best of '13-'14: Part 1,Top Gear,,,6.0,67,15042
tt19655882,Signs,Ted Lasso,3,5,7.1,4633,15043
tt12735736,Group D: England vs Scotland,2020 UEFA European Football Championship,1,20,5.4,44,15044
tt21111580,Episode #32.5,Top Gear,32,5,6.0,68,15045
tt14090530,Road to WWE WrestleMania Backlash 2021 begins,WWE Raw,29,27,4.5,29,15046
tt9208728,Drew McIntyre Appreciation Night,WWE Raw,27,13,5.0,36,15047
tt15300154,Episode #51.2,A Question of Sport,51,2,2.0,15,15048
tt8501962,Spain - Russia,2018 FIFA World Cup Russia,1,51,6.0,69,15049
tt26747832,Over the Limit,Formula 1: Drive to Survive,5,9,6.9,364,15050
tt13649564,Test,Inside Edge,3,8,6.2,86,15051
tt26747838,End of the Road,Formula 1: Drive to Survive,5,10,6.9,397,15052
tt16267812,2022 Italian Grand Prix,Formula 1,73,16,5.6,54,15053
tt8424948,Portugal - Morocco,2018 FIFA World Cup Russia,1,18,5.5,51,15054
tt12595566,Roller Derby,Home Game,1,4,6.3,102,15055
tt0742714,"Uncut, Uncooked, Uncensored",WWE Raw,1,1,6.5,136,15056
tt21871652,Wide World of Wales,Welcome to Wrexham,1,7,7.0,813,15057
tt0946942,It's Cold Outside,WWE Raw,1,4,6.0,75,15058
tt14085348,No Regrets,Formula 1: Drive to Survive,3,8,7.0,830,15059
tt8943500,2019 Monaco Grand Prix,Formula 1,70,6,5.9,69,15060
tt2207304,The Amaaazing Adventures of Captain Grindstar/Red Riding Rob,Rob Dyrdek's Wild Grinders,1,7,1.9,16,15061
tt24855902,2023 Spanish Grand Prix,Formula 1,74,8,5.4,49,15062
tt14545502,"Think Before You Speak, Shayna!",WWE Raw,29,34,4.3,30,15063
tt6781880,1994 San Marino Grand Prix,Formula 1,45,3,2.9,20,15064
tt12595658,Pehlwani,Home Game,1,8,5.8,65,15065
tt13589012,2021 Spanish Grand Prix,Formula 1,72,4,6.2,95,15066
tt3418502,Top 41: Part 8,Top Gear,,,5.7,61,15067
tt2158962,The Prince & the Skateboarder/Board Story,Rob Dyrdek's Wild Grinders,1,4,2.6,19,15068
tt7727420,2018 Canadian Grand Prix,Formula 1,69,7,5.1,43,15069
tt14342812,Episode #30.3,Top Gear,30,3,6.2,96,15070
tt19850334,Group D: Denmark vs Tunisia,2022 FIFA World Cup Qatar,1,6,5.5,54,15071
tt19850428,Group H: Uruguay vs Korea Republic,2022 FIFA World Cup Qatar,1,14,5.5,54,15071
tt8425222,England - Belgium,2018 FIFA World Cup Russia,1,48,5.3,48,15073
tt9318572,Zen,Hoops,1,6,6.6,176,15074
tt8420372,Egypt - Uruguay,2018 FIFA World Cup Russia,1,2,5.6,58,15075
tt3426024,Top 41: Part 9,Top Gear,,,5.6,58,15075
tt16088288,Episode #31.2,Top Gear,31,2,6.2,99,15077
tt5298528,Top Gear: From A-Z - Part 2,Top Gear,,,6.0,81,15078
tt3315170,Top 41: Part 2,Top Gear,,,5.5,56,15079
tt21311228,The Bella Twins,Biography: WWE Legends,2,3,5.9,75,15080
tt12624934,Quarterbackin',Colin in Black & White,1,2,6.8,312,15081
tt10945518,2020 Hungarian Grand Prix,Formula 1,71,3,5.6,60,15082
tt3648300,Best of '13-'14: Part 2,Top Gear,,,5.6,60,15082
tt12624942,Dear Colin,Colin in Black & White,1,6,6.8,316,15084
tt2177604,Out of Tune/Picnic of Doom,Rob Dyrdek's Wild Grinders,1,5,1.8,17,15085
tt3377428,Top 41: Part 6,Top Gear,,,5.5,57,15086
tt10945404,2021 Portugese Grand Prix,Formula 1,72,3,6.2,103,15087
tt3315214,Top 41: Part 3,Top Gear,,,5.4,54,15088
tt3336584,Top 41: Part 5,Top Gear,,,5.4,54,15088
tt9318576,Death,Hoops,1,8,6.5,157,15090
tt13611868,WWE ThunderDome: WWE RAW Legends Night,WWE Raw,29,12,4.8,40,15091
tt2122946,Top 40: Part 2,Top Gear,,,5.5,58,15092
tt10600396,Three Year Contract,Brockmire,4,2,6.2,105,15093
tt8420374,Morocco - Iran,2018 FIFA World Cup Russia,1,3,5.4,55,15094
tt10533170,Low and Away,Brockmire,4,3,6.2,106,15095
tt2139355,Top 40: Part 8,Top Gear,,,5.5,59,15096
tt2122945,Top 40: Part 1,Top Gear,,,5.6,63,15097
tt2580724,Best of: '11-'12: Part 4,Top Gear,,,5.6,63,15097
tt11702232,Episode #28.3,Top Gear,28,3,6.6,196,15099
tt9318574,The Strike,Hoops,1,7,6.5,162,15100
tt16267810,2022 Japanese Grand Prix,Formula 1,73,18,5.4,56,15101
tt3382522,Top 41: Part 7,Top Gear,,,5.4,56,15101
tt3905690,Best of Australia: Part 1,Top Gear,,,5.3,53,15103
tt2487014,Top Fails: Volume 1,Top Gear,,,5.8,74,15104
tt16259338,2022 Miami Grand Prix,Formula 1,73,5,5.8,74,15104
tt2106166,Best of: '10-'11: Part 2,Top Gear,,,5.5,60,15106
tt8120038,Episode #25.3,Top Gear,25,3,6.8,346,15107
tt21630640,Charlotte Flair,Steve Austin's Broken Skull Sessions,1,30,4.2,33,15108
tt0742722,Episode #2.5,WWE Smackdown!,2,5,3.9,30,15109
tt2122948,Top 40: Part 4,Top Gear,,,5.4,57,15110
tt19850338,Group C: Mexico vs Poland,2022 FIFA World Cup Qatar,1,7,5.4,57,15110
tt8424950,Uruguay - Saudi Arabia,2018 FIFA World Cup Russia,1,19,5.0,46,15112
tt14293544,Episode #30.2,Top Gear,30,2,6.2,111,15113
