tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt13847928,One Way Out,Andor,1,10,9.4,16155,86
tt4006548,The Climb,Arrow,3,9,9.5,12253,87
tt2553414,Victory,Spartacus,3,10,9.7,8168,88
tt15452274,Ketsui,Boruto: Naruto Next Generations,1,217,9.7,7960,89
tt10655692,The Vat of Acid Episode,Rick and Morty,4,8,9.4,14783,90
tt11198354,The Black Queen,House of the Dragon,1,10,9.2,35304,91
tt11957006,When You're Lost in the Darkness,The Last of Us,1,1,9.1,107814,92
tt8527962,One For All,My Hero Academia,3,11,9.8,6742,93
tt5218268,Pickle Rick,Rick and Morty,3,3,9.3,20250,94
tt14500884,Infected,The Last of Us,1,2,9.1,99103,95
tt20236974,Barrage of Powerful Techniques! The Fierce Attacks of the Worst Generation!,One Piece,1,1017,9.7,7673,96
tt14984112,Kaido's Trump Card - Introducing the Tobi Roppo,One Piece,1,982,9.6,8821,97
tt17337688,Once We've Defeated the Upper Rank Demons,Demon Slayer: Kimetsu no Yaiba,2,16,9.6,8795,98
tt2779318,The Day of the Doctor,Doctor Who,,,9.3,18701,99
tt9121546,Chapter 8: Redemption,The Mandalorian,1,8,9.2,28183,100
tt5340582,Twilight of the Apprentice: Part 2,Star Wars: Rebels,2,22,9.8,6303,101
tt4460256,Not What He Seems,Gravity Falls,2,11,9.8,6280,102
tt16972222,Layered Memories,Demon Slayer: Kimetsu no Yaiba,2,13,9.5,10100,103
tt8517724,Pain,Attack on Titan,3,2,9.3,17043,104
tt9691186,We Need to Talk,Invincible,1,7,9.5,9928,105
tt14525206,Chapter 6: From the Desert Comes a Stranger,The Book of Boba Fett,1,6,9.2,25108,106
tt3333846,Close Rick-counters of the Rick Kind,Rick and Morty,1,10,9.3,16545,107
tt5775840,The Queen's Justice,Game of Thrones,7,3,9.1,48631,108
tt5584166,Lian Yu,Arrow,5,23,9.6,8071,109
tt3827236,This Person × and × This Moment,Hunter x Hunter,1,135,9.8,6040,110
tt3866862,Mother's Mercy,Game of Thrones,5,10,9.1,45033,111
tt11198348,Driftmark,House of the Dragon,1,7,9.1,44886,112
tt4832268,The Ricks Must Be Crazy,Rick and Morty,2,6,9.3,15714,113
tt4832278,The Wedding Squanchers,Rick and Morty,2,10,9.3,15626,114
tt27647886,The Strike of an Ifrit! Sanji vs. Queen,One Piece,1,1061,9.6,7883,115
tt8733184,Ruler of the Walls,Attack on Titan,3,9,9.3,15128,116
tt13701034,Big News! The Warlords Attack Incident,One Piece,1,957,9.6,7657,117
tt1821284,Kotae o Sagashite: Hiken Ace Senjou ni Shisu,One Piece,1,483,9.8,5795,118
tt14342824,Judgment,Attack on Titan,4,17,9.1,36980,119
tt1837863,You Win or You Die,Game of Thrones,1,7,9.1,36682,120
tt5153884,Weirdmageddon 3: Take Back the Falls,Gravity Falls,2,20,9.8,5762,121
tt1837862,A Golden Crown,Game of Thrones,1,6,9.1,36181,122
tt6381882,A Regular Epic Final Battle,Regular Show,8,27,9.8,5710,123
tt2178796,Mhysa,Game of Thrones,3,10,9.1,33704,124
tt10023452,The Basement,Attack on Titan,3,19,9.2,19591,125
tt2542356,The Lawless,Star Wars: The Clone Wars,5,16,9.7,6193,126
tt1205440,Forest of the Dead,Doctor Who,4,9,9.4,10134,127
tt23471800,The Fire,Bleach: Thousand-Year Blood War,1,6,9.5,8312,128
tt14134754,Nonstandard,Jujutsu Kaisen,1,20,9.6,7029,129
tt14045250,Blades Crossed! Roger and Whitebeard!,One Piece,1,965,9.7,6080,130
tt5775864,Beyond the Wall,Game of Thrones,7,6,9.0,66687,131
tt2879076,First Battle: The Struggle for Trost， Part 1,Attack on Titan,1,5,9.2,16948,132
tt15498166,Aibô,Boruto: Naruto Next Generations,1,218,9.8,5315,133
tt14526270,Chapter 5: Return of the Mandalorian,The Book of Boba Fett,1,5,9.1,25798,134
tt13052868,Chapter 14: The Tragedy,The Mandalorian,2,6,9.1,25711,135
tt15041334,Rickmurai Jack,Rick and Morty,5,10,9.3,12137,136
tt7453430,Kanashiki Kettou: Luffy tai Sanji (Kouhen),One Piece,1,808,9.8,5206,137
tt8543958,Sin,Attack on Titan,3,6,9.2,15695,138
tt1591786,Vincent and the Doctor,Doctor Who,5,10,9.3,11671,139
tt2825724,To You， in 2000 Years: The Fall of Shiganshina， Part 1,Attack on Titan,1,1,9.1,23528,140
tt8733190,Bystander,Attack on Titan,3,11,9.2,15464,141
tt18484352,Traitor,Attack on Titan,4,26,9.2,15396,142
tt4228718,Beast Titan,Attack on Titan,2,1,9.2,15386,143
tt2928456,I Can Hear His Heartbeat: The Struggle for Trost， Part 4,Attack on Titan,1,8,9.2,15353,144
tt1521502,Kill Them All,Spartacus,1,13,9.6,6512,145
tt8733188,Friends,Attack on Titan,3,10,9.2,15091,146
tt14571480,Oden Wouldn't Be Oden If It Wasn't Boiled!,One Piece,1,974,9.7,5642,147
tt15747178,Look for the Light,The Last of Us,1,9,9.0,41105,148
tt1830404,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,One Piece,1,485,9.8,4990,149
tt6723678,Historia,Attack on Titan,2,5,9.2,14461,150
tt4283016,Book of the Stranger,Game of Thrones,6,4,9.0,38812,151
tt3174242,Mercy: Raid on Stohess District， Part 2,Attack on Titan,1,24,9.2,14258,152
tt6723674,Soldier,Attack on Titan,2,4,9.2,14027,153
tt2816136,Two Swords,Game of Thrones,4,1,9.0,36962,154
tt1829964,The Wolf and the Lion,Game of Thrones,1,5,9.0,36583,155
tt4041680,OVA: No Regrets - Part 2,Attack on Titan,,,9.5,7192,156
tt3060876,Mockingbird,Game of Thrones,4,7,9.0,33052,157
tt15757632,Set Your Heart Ablaze,Demon Slayer: Kimetsu no Yaiba,2,7,9.7,5304,158
tt2761440,Sacrifice,Arrow,1,23,9.4,8196,159
tt15496430,When These Walls Come Tumbling Down,Arcane,1,6,9.2,12695,160
tt13989180,Black Oath,Black Clover,4,13,9.8,4667,161
tt1208129,Silence in the Library,Doctor Who,4,8,9.3,9832,162
tt2628854,The Wrong Jedi,Star Wars: The Clone Wars,5,20,9.6,5858,163
tt0793130,Live Together， Die Alone: Part 1,Lost,2,23,9.4,7964,164
tt0822878,The Crossroads of Destiny,Avatar: The Last Airbender,2,20,9.6,5809,165
tt13971296,Brave Volunteers,Attack on Titan,4,9,9.0,27041,166
tt15496436,The Boy Savior,Arcane,1,7,9.2,12125,167
tt9583206,150146,The Promised Neverland,1,12,9.7,5088,168
tt17008706,Transformation,Demon Slayer: Kimetsu no Yaiba,2,14,9.4,7737,169
tt0636289,Pilot: Part 1,Lost,1,1,9.2,11944,170
tt3337674,Unthinkable,Arrow,2,23,9.4,7725,171
tt0708803,The Inner Light,Star Trek: The Next Generation,5,25,9.4,7717,172
tt10161340,The Nexus Event,Loki,1,4,9.0,26082,173
tt9121544,Chapter 7: The Reckoning,The Mandalorian,1,7,9.0,25726,174
tt15496432,Oil and Water,Arcane,1,8,9.2,11727,175
tt0562998,The Girl in the Fireplace,Doctor Who,2,4,9.2,11692,176
tt17163896,Gathering,Demon Slayer: Kimetsu no Yaiba,2,15,9.4,7538,177
tt1322867,Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai,One Piece,1,377,9.7,4960,178
tt1480055,Winter Is Coming,Game of Thrones,1,1,8.9,51731,179
tt13847624,The Eye,Andor,1,6,9.1,15250,180
tt0584444,Jurassic Bark,Futurama,5,2,9.5,6276,181
tt3104218,Female Titan: The 57th Expedition Beyond the Walls， Part 1,Attack on Titan,1,17,9.1,14425,182
tt8543956,Reply,Attack on Titan,3,5,9.1,14368,183
tt3134450,Erwin Smith: The 57th Expedition Beyond the Walls， Part 4,Attack on Titan,1,20,9.1,14085,184
tt0516783,Zuko Alone,Avatar: The Last Airbender,2,7,9.5,6059,185
tt18211918,Thaw,Attack on Titan,4,22,9.0,20267,186
tt6071338,Naruto to Sasuke,Naruto: Shippuden,1,477,9.7,4609,187
tt9632460,A Fist of Divine Speed! Another Gear Four Application Activated!,One Piece,1,870,9.7,4600,188
tt8630262,Chi to ko,Boruto: Naruto Next Generations,1,65,9.7,4583,189
tt1837864,The Pointy End,Game of Thrones,1,8,8.9,34327,190
tt14793314,Yabai yarô,Boruto: Naruto Next Generations,1,204,9.7,4567,191
tt2085238,The Old Gods and the New,Game of Thrones,2,6,8.9,31153,192
tt2178788,Kissed by Fire,Game of Thrones,3,5,8.9,30645,193
tt9121534,Chapter 3: The Sin,The Mandalorian,1,3,8.9,30200,194
tt2178806,Second Sons,Game of Thrones,3,8,8.9,30041,195
tt4838244,Enter Zoom,The Flash,2,6,9.3,7737,196
tt0756450,Doomsday,Doctor Who,2,13,9.2,9463,197
tt10529418,A True Warrior,Vinland Saga,1,4,9.6,4954,198
tt13605712,From One Hand to Another,Attack on Titan,4,4,8.9,29499,199
tt13848062,Rix Road,Andor,1,12,9.1,11894,200
tt4138356,The Trap,The Flash,1,20,9.3,7488,201
tt1000256,The Family of Blood,Doctor Who,3,9,9.2,9073,202
tt3333832,Meeseeks and Destroy,Rick and Morty,1,5,9.0,16144,203
tt3899320,Flash vs. Arrow,The Flash,1,8,9.2,8991,204
tt3333834,Rick Potion #9,Rick and Morty,1,6,9.0,15927,205
tt1204263,Sozin's Comet， Part 2: The Old Masters,Avatar: The Last Airbender,3,19,9.5,5367,206
tt22012830,The Last Generation,Star Trek: Picard,3,10,9.4,6122,207
tt1205438,Journey's End,Doctor Who,4,13,9.2,8738,208
tt1117701,The Avatar and the Fire Lord,Avatar: The Last Airbender,3,6,9.5,5323,209
tt12045824,His Start,My Hero Academia,4,25,9.7,4223,210
tt3390240,The Lord's Prayer,Vikings,2,10,9.2,8718,211
tt4017786,The Man in the Yellow Suit,The Flash,1,9,9.2,8628,212
tt14659496,Kin,The Last of Us,1,6,8.8,54592,213
tt13052876,Chapter 15: The Believer,The Mandalorian,2,7,8.9,23067,214
tt10655696,Star Mort Rickturn of the Jerri,Rick and Morty,4,10,9.1,10800,215
tt10161338,Journey Into Mystery,Loki,1,5,8.9,22677,216
tt13976780,Captain Yami Sukehiro,Black Clover,4,12,9.7,4139,217
tt15387948,What If... Ultron Won?,What If...?,1,8,9.0,14468,218
tt10512638,The Siege of the North， Part 2,Avatar: The Last Airbender,1,20,9.6,4600,219
tt14026060,Guides,Attack on Titan,4,12,8.9,22292,220
tt3158344,The Defeated: The 57th Expedition Beyond the Walls， Part 6,Attack on Titan,1,22,9.0,14114,221
tt3174238,Smile: Raid on Stohess District， Part 1,Attack on Titan,1,23,9.0,14093,222
tt13810850,"""The Legendary Battle! Garp and Roger""",One Piece,1,958,9.5,5127,223
tt5655178,Stormborn,Game of Thrones,7,2,8.8,46341,224
tt11198342,We Light the Way,House of the Dragon,1,5,8.8,46254,225
tt9326572,Change Your Mind,Steven Universe,5,28,9.7,4080,226
tt12396812,Mort Dinner Rick Andre,Rick and Morty,5,1,9.0,13955,227
tt22012822,Võx,Star Trek: Picard,3,9,9.4,5799,228
tt11488600,Infinite 100%,My Hero Academia,4,13,9.7,4015,229
tt1989158,The Tale of Jiraiya the Gallant,Naruto: Shippuden,1,133,9.7,4014,230
tt14030806,Black Flash,Jujutsu Kaisen,1,19,9.5,5015,231
tt6723700,Children,Attack on Titan,2,10,9.0,13437,232
tt1453919,Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,One Piece,1,405,9.7,3944,233
tt27589539,Emperor of Rebellion,Vinland Saga,2,22,9.8,3516,234
tt3866846,The Gift,Game of Thrones,5,7,8.8,31568,235
tt0636290,Pilot: Part 2,Lost,1,2,9.1,9119,236
tt2085239,A Man Without Honor,Game of Thrones,2,7,8.8,30336,237
tt3685804,To the Gates!,Vikings,3,8,9.2,7318,238
tt15411148,Ikenie,Boruto: Naruto Next Generations,1,216,9.6,4171,239
tt0636280,Exodus: Part 2,Lost,1,24,9.2,7261,240
tt8164820,Come Along With Me,Adventure Time,10,13,9.7,3750,241
tt1467644,Ab Aeterno,Lost,6,9,9.2,7245,242
tt11150494,Chapter 9: The Marshal,The Mandalorian,2,1,8.8,28230,243
tt0579533,Out of Gas,Firefly,1,5,9.3,6085,244
tt7029252,Smoke Signal,Attack on Titan,3,1,8.9,15938,245
tt2421174,Exit 9B,Regular Show,4,1,9.7,3709,246
tt2899140,The World the Girl Saw: The Struggle for Trost， Part 2,Attack on Titan,1,6,8.9,15549,247
tt2928458,Small Blade: The Struggle for Trost， Part 3,Attack on Titan,1,7,8.9,15035,248
tt11198334,The Heirs of the Dragon,House of the Dragon,1,1,8.7,69790,249
tt8733192,Night of the Battle to Retake the Wall,Attack on Titan,3,12,8.9,14962,250
tt12047918,That Hope Is You， Part 2,Star Trek: Discovery,3,13,6.5,3596,108122
tt11950118,Seeing Red,Ms. Marvel,1,4,6.7,7572,108123
tt10468292,The Bodyguard,Supergirl,5,14,5.9,1399,108124
tt0708800,The Host,Star Trek: The Next Generation,4,23,6.4,2856,108125
tt12013210,Unification III,Star Trek: Discovery,3,7,6.5,3608,108126
tt15777808,Past Present,High Guardian Spice,1,4,1.5,257,108127
tt9354212,Nikola Tesla's Night of Terror,Doctor Who,12,4,6.6,4994,108128
tt9788494,When the Yogurt Took Over,Love， Death & Robots,1,6,6.8,18172,108129
tt2383079,Dream of Love,Adventure Time,4,4,6.0,1603,108130
tt13323044,The Gales,Willow,1,1,6.5,3775,108131
tt0708975,Tattoo,Star Trek: Voyager,2,9,6.1,1829,108132
tt13583590,Prior Criminal History,Batwoman,2,2,5.7,1222,108133
tt0708779,Suddenly Human,Star Trek: The Next Generation,4,4,6.4,3069,108134
tt9354166,Spyfall: Part Two,Doctor Who,12,2,6.6,5481,108135
tt6263408,Those Who Would Destroy Us,Inhumans,1,2,6.0,1667,108136
tt0708896,Favorite Son,Star Trek: Voyager,3,20,6.0,1676,108137
tt0708452,The Apple,Star Trek,2,5,6.4,3148,108138
tt12047894,Terra Firma， Part 2,Star Trek: Discovery,3,10,6.4,3148,108138
tt11609040,Partings,The Lord of the Rings: The Rings of Power,1,5,6.8,25421,108140
tt13469800,Flux: Chapter Five - Survivors of the Flux,Doctor Who,13,5,6.3,2605,108141
tt12013212,Terra Firma， Part 1,Star Trek: Discovery,3,9,6.4,3202,108142
tt2465552,Secret Weapons,Star Wars: The Clone Wars,5,10,6.3,2628,108143
tt8560942,Episode #2.1,The Protector,2,1,5.9,1535,108144
tt9721640,The Circle Closes,The Stand,1,9,5.4,1008,108145
tt0708738,Journey's End,Star Trek: The Next Generation,7,20,6.3,2663,108146
tt14270768,Family Matters， Part 1,The Flash,7,10,5.9,1544,108147
tt0708841,When The Bough Breaks,Star Trek: The Next Generation,1,16,6.4,3322,108148
tt3524884,Waffles,Teen Titans Go!,1,39,3.7,470,108149
tt8728624,Gone with a Trace,Star Wars: The Clone Wars,7,5,6.5,4311,108150
tt15777826,Attack on High Guardian Academy,High Guardian Spice,1,12,1.4,273,108151
tt0708810,The Naked Now,Star Trek: The Next Generation,1,2,6.5,4415,108152
tt24175660,Entombed,Star Wars: The Bad Batch,2,5,6.3,2799,108153
tt0709075,Emancipation,Stargate SG-1,1,3,6.0,1813,108154
tt4022258,Naruto tai Meka Naruto,Naruto: Shippuden,1,377,3.5,456,108155
tt11204018,How Queer Everything Is Today!,Batwoman,1,10,5.9,1638,108156
tt13106196,What If... Killmonger Rescued Tony Stark?,What If...?,1,6,6.7,12178,108157
tt0708737,Interface,Star Trek: The Next Generation,7,3,6.2,2469,108158
tt11344712,Love is a Maiden's Power,The Seven Deadly Sins,4,12,4.8,769,108159
tt16364428,Nubian vs Nubian,The Boys Presents: Diabolical,1,6,5.9,1702,108160
tt14435140,Watcher,Star Trek: Picard,2,4,6.4,3766,108161
tt15170316,The Galactic Barrier,Star Trek: Discovery,4,10,5.9,1718,108162
tt10750088,Mine Is a Long and a Sad Tale,Batwoman,1,5,6.1,2202,108163
tt6263404,Behold... The Inhumans,Inhumans,1,1,6.0,1941,108164
tt0708819,The Price,Star Trek: The Next Generation,3,8,6.3,3119,108165
tt0152265,Safety Patrol,The Wonderful World of Disney,1,24,4.3,636,108166
tt2069533,Nomad Droids,Star Wars: The Clone Wars,4,6,6.2,2638,108167
